RecordType.Name,Name,DEC__c,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,Phone,Fax,Description
DEC,ABBOTSFORD REGIONAL HOSPITAL - Pediatric Diabetes Clinic - Child Health Centre Baker 4,FH001,32900 Marshall Rd.,Abbotsford ,BC, V2S 0C2,(604) 851-4700 Ext 646267,(604) 851-4790,
DEC,ABBOTSFORD REGIONAL HOSPITAL - Diabetes Education Centre - Sumas Level 2,FH002,32900 Marshall Rd.,Abbotsford ,BC, V2S 0C2,(604) 851-4700 Ext 646238,(604) 851-4774,"Fax
(604) 851-4774
(604) 851-4782

"
DEC,BURNABY Diabetes Health Centre,FH003,3935 Kincaid Street,Burnaby,BC,V5G 2X6,(604) 412-6139,(604) 412-6233,
DEC,CHILLIWACK Diabetes Health Centre,FH004,45600 Menholm Road,Chilliwack,BC,V2P 1P7,(604) 702-4766,(604) 702-2880,"Fax
(604) 702-2880
(604) 702-2895

"
DEC,DELTA Diabetes Health Centre,FH005,#1826-4949 Canoe Pass Way,Delta,BC,V4M 0B2,(604) 952-3558 ext 2,(604) 940-8944,
DEC,Fraser Canyon Hospital - Diabetes Program,FH006,1275 7th Avenue,Hope,BC,V0X 1L4,(604) 702-4766,(604) 702-2880,
DEC,NEW WESTMINSTER Diabetes Health Centre,FH007,234 Ross Drive,New Westminster,BC,V3L 0B2,(604) 523-8800,(604) 523-8801,
DEC,WHITE ROCK/SOUTH SURREY Diabetes Health Centre,FH008,15455 Vine Avenue,White Rock,BC,V4B 2T3,(604) 541-7162,(604) 538-9809,
DEC,JIM PATTISON OUTPATIENT CARE AND SURGERY CENTRE - Diabetes Health Centre (LEVEL 3B),FH009,9750 140 Street,Surrey,BC,V3T 0G9,(604) 582-4583,(604) 582-4590 ,"Fax
(604) 582-4590 
(604) 582-3780

"
DEC,JIM PATTISON OUTPATIENT CARE AND SURGERY CENTRE - Diabetes and Pregnancy Clinic (LEVEL 3A),FH010,9750 140 Street,Surrey,BC,V3T 0G9,(604) 582-4558 Ext 763999,(604) 582-3775,
DEC,LANGLEY Diabetes Health Centre,FH011,22051 Fraser Highway,Langley,BC,V3A 4H4,(604) 539-4391,(604) 532-7048,
DEC,SOUTH ASIAN HEALTH CENTRE - Diabetes Program,FH012,6830 King George Blvd,Surrey,BC,V3W 4Z9,(604) 591-5751,(604) 591-5829,
DEC,MISSION Diabetes Health Centre,FH013,7298 Hurd Street,Mission,BC,V2V 3H6,(604) 814-5145,(604) 814-5518,
DEC,RIDGE MEADOWS Diabetes Health Centre,FH014,400-22470 Dewdney Trunk Road,Maple Ridge,BC,V2X 5Z6,(604) 476-7056,(604) 476-7084,
DEC,ROYAL COLUMBIAN HOSPITAL – Diabetes in Pregnancy Program,FH015,"3 East, Room # 3312 330 East Columbia Street",New Westminster,BC,V3L 3W7,(604) 520-4473,(604) 520-4140,
DEC,ROYAL COLUMBIAN HOSPITAL – Inpatient Diabetes Education,FH016,"Room 053-06 330 East Columbia Street, CT",New Westminster,BC,V3M 3W7,(604) 520-4719,(604) 520-4799,
DEC,SURREY MEMORIAL HOSPITAL - Pediatric Diabetes Clinic,FH017,13750 - 96th Avenue (Charles Barham Pavillion),Surrey,BC,V3V 1Z2,(604) 587-3929,(604) 585-5968,"Fax
(604) 585-5968
(604) 588-3316

"
DEC,TRI CITIES DIABETES HEALTH CENTRE,FH018,602 - 205 Newport Drive,Port Moody,BC,V3H 5C9,(604) 949-7771,(604) 949-7772,"Fax
(604) 949-7772
(604)-777-8741 

"
DEC,ABBOTSFORD REGIONAL HOSPITAL - Diabetes and Pregnancy Program,FH019,32900 Marshall Road ,Abbotsford,BC,V2S 0C2,(604) 851-4700 ext 646355,(604) 851-4813,
DEC,FIRST NATIONS HEALTH AUTHORITY DIABETES EDUCATION CENTRE,FNOO1,540-757 West Hastings Street,Vancouver,BC,V6C 1A1,(604) 693-6723,(604) 666-0275,
DEC,BARRIERE HEALTH CENTRE,IH001,4537  Barriere Town Road Box 659,Barriere,BC,V0E 1E0,(250) 672-9707,(250) 672-5144,"Fax
(250) 672-5144
(250) 674-2477

"
DEC,"BOUNDARY HOSPITAL, BOUNDARY HEALTH COUNCIL",IH002,Box 2647 7649 22nd Street,Grand Forks,BC,VOH 1H0,(250) 443-2136,(250) 443-2136,"Fax
(250) 443-2136
(250) 442-8331

"
DEC,COMMUNITY HEALTH AND SERVICES CENTRE,IH003,505 Doyle Avenue,Kelowna,BC,V1Y 0C5,(250) 980-1405,(250) 980-1510,"Training provided at three different locations  and certificates may be faxed from these three numbers

Fax:
(250) 980-1510	
(250) 768-9813 
(250) 712-0847"
DEC,CARIBOO MEMORIAL HOSPITAL (Williams Lake Diabetes Education Centre),IH004,Deni House Ground Floor 517 Sixth Avenue N,Williams Lake,BC,V2G 4G8,(250) 305-4076,(250) 302-3273,
DEC,CASTLEGAR AND DISTRICT HOSPITAL,IH005,709 - 10th Street,Castlegar,BC,V1N 2H7,(250) 365-7711,(250) 365-0268,"Fax
(250) 622-6521
(250) 622-6391

"
DEC,CHASE & DISTRICT HEALTH CENTRE,IH006,PO Box 1099,Chase,BC,V0E 1M0,(250) 679-3312,(250) 679-5329,
DEC,CRANBROOK HEALTH UNIT,IH007,20 23rd Avenue South,Cranbrook,BC,V1C 5V1,(250) 489-6414,(250) 489-6420,
DEC,CRESTON VALLEY HOSPITAL,IH008,Bag 3000 312 - 15th Avenue,Creston,BC,V0B 1G0,(250) 428-2286 (Loc. 3845),(250) 428-3601,
DEC,ELK VALLEY DIABETES TEACHING CENTRE and SPARWOOD HEALTH CENTRE,IH009,"Box 1120
Sparling East Medical Center, and Leroux Medical Clinic",Sparwood,BC,V0B 2G0,,(250) 425-4549,"(250) 425-6212 (Local 256 or 255), (250) 423-4442 (Sparling East Medical Center outreach site), (250) 423-6404 (Leroux Medical Clinic outreach site) 

Fax:
(250) 425-4549
(250) 423-3424"
DEC,GOLDEN AND DISTRICT HOSPITAL (Diabetes Education Centre),IH010,"PO Box 369
835-9th Avenue South",Golden,BC,V0A 1H0,(250) 344-3043,(250) 344-2511,"Fax
(250) 622-6521
(250) 622-6391

"
DEC,INVERMERE HEALTH CENTRE (Diabetes Education Centre),IH011," PO Box 
2069 850 - 10th Avenue",Invermere,BC,V0A 1K0,(250) 342-9201,(250) 342-6303,"Fax
(250) 622-6521
(250) 622-6391

"
DEC,KIMBERLEY PRIMARY HEALTH CARE CENTRE,IH012,260 4th Avenue,Kimberley,BC,V1A 2R6,(250) 489-6414,(250) 427-7389,
