Drug__r.Drug_Code__c,Diagnosis__c,Hierarchy__c
100extrabgts,Gestational diabetes,Primary
100extrabgts,"Occupations where hypoglycemia presents a significant safety risk (e.g., pilots, air traffic controllers, commercial drivers)",Primary
100extrabgts,"Changes in drug therapy that may impact blood glucose control (e.g., starting or stopping hypo- or hyperglycemic inducing medications, or drug-to-drug or drug-to-disease interactions)",Primary
100extrabgts,Acute illness or comorbidities that may impact blood glucose control,Primary
100extrabgts,"Not meeting glycemic targets, as determined by a physician, for 3 months or more",Primary
100extrabgts,Other,
1PPIpant,Barrett's esophagus,Primary
1PPIpant,Zollinger-Ellison syndrome,Primary
1PPIpant,"Connective tissue disease (e.g., lupus, scleroderma, crest),",Primary
1PPIpant,Other,
1PPIpant,"Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)",Primary
1PPIpant,Gastric ulcer,Primary
1PPIpant,Reflux esophagitis,Primary
1PPIpant,Gastroesophageal reflux disease (GERD),Primary
1PPIpant,Duodenal ulcer,Primary
1PPIrabe,"Connective tissue disease (e.g., lupus, scleroderma, crest),",Primary
1PPIrabe,"Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)",Primary
1PPIrabe,Barrett's esophagus,Primary
1PPIrabe,Gastric ulcer,Primary
1PPIrabe,Duodenal ulcer,Primary
1PPIrabe,Other,
1PPIrabe,Gastroesophageal reflux disease (GERD),Primary
1PPIrabe,Reflux esophagitis,Primary
1PPIrabe,Zollinger-Ellison syndrome,Primary
2PPIesom,Barrett's esophagus,Primary
2PPIesom,Zollinger-Ellison syndrome,Primary
2PPIesom,Duodenal ulcer,Primary
2PPIesom,"Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)",Primary
2PPIesom,Gastric ulcer,Primary
2PPIesom,Gastroesophageal reflux disease (GERD),Primary
2PPIesom,Reflux esophagitis,Primary
2PPIesom,Other,
2PPIesom,"Connective tissue disease (e.g., lupus, scleroderma, crest),",Primary
2PPIlans,Other,
2PPIlans,Gastroesophageal reflux disease (GERD),Primary
2PPIlans,Reflux esophagitis,Primary
2PPIlans,Duodenal ulcer,Primary
2PPIlans,Gastric ulcer,Primary
2PPIlans,Barrett's esophagus,Primary
2PPIlans,"Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)",Primary
2PPIlans,"Connective tissue disease (e.g., lupus, scleroderma, crest),",Primary
2PPIlans,Zollinger-Ellison syndrome,Primary
2PPIomep,Zollinger-Ellison syndrome,Primary
2PPIomep,"Connective tissue disease (e.g., lupus, scleroderma, crest),",Primary
2PPIomep,Reflux esophagitis,Primary
2PPIomep,Gastroesophageal reflux disease (GERD),Primary
2PPIomep,Duodenal ulcer,Primary
2PPIomep,"Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)",Primary
2PPIomep,Barrett's esophagus,Primary
2PPIomep,Gastric ulcer,Primary
2PPIomep,Other,
2PPIpant,Reflux esophagitis,Primary
2PPIpant,Duodenal ulcer,Primary
2PPIpant,Gastric ulcer,Primary
2PPIpant,Patient has contraindications to one or more 1st line PPIs,Primary
