Step__r.External_ID__c,Object_Name__c,Field_Name__c,Operator__c,Order__c,Question_ID__c,String_Value__c,Boolean_Value__c
100extrabgts_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
1PPIpant_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,1,stLinePpIs1.criteriaWell.diagnosis,Other,false
1PPIpant_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
1PPIpant_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,2,stLinePpIs1.criteriaWell.diagnosis,"Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)",false
1PPIpant_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,3,manual.diagnosis,Other,false
1PPIpant_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,4,manual.diagnosis,"Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)",false
1PPIpant_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,5,manual.diagnosis,None,false
1PPIrabe_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,1,stLinePpIs1.criteriaWell.diagnosis,other,false
1PPIrabe_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
1PPIrabe_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,2,stLinePpIs1.criteriaWell.diagnosis,"Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)",false
1PPIrabe_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,3,manual.diagnosis,Other,false
1PPIrabe_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,4,manual.diagnosis,"Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)",false
1PPIrabe_100_Approve_Case,Request_Detail__c,String_Value__c,not equal to,5,manual.diagnosis,None,false
2PPIesom_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
2PPIlans_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
2PPIomep_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
2PPIpant_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
abatacept_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
abobotulinum_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ACEIcapt_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ACEIcila_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ACEIdena_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ACEIenap_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ACEIfosi_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ACEIliso_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
ACEIperi_200_Pharmanet_Payload_if_Approved,Case,Status,equals,1,,Approved,false
