Drug__r.Drug_Code__c,Object_Name__c,Field_Name__c,Operator__c,Order__c,Question_ID__c,String_Value__c,Boolean_Value__c
1PPIpant,Request_Detail__c,String_Value__c,not equal to,3,pantomg.manual.diagnosis.auto,Other,FALSE
1PPIpant,Request_Detail__c,String_Value__c,not equal to,2,stLinePpIs.diagnosis,"Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)",FALSE
1PPIpant,Request_Detail__c,String_Value__c,not equal to,1,stLinePpIs.diagnosis,Other,FALSE
1PPIpant,Request_Detail__c,String_Value__c,not equal to,4,pantomg.manual.diagnosis.auto,"Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)",FALSE
1PPIrabe,Request_Detail__c,String_Value__c,not equal to,4,rabeprazole.manual.diagnosis.auto,"Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)",FALSE
1PPIrabe,Request_Detail__c,String_Value__c,not equal to,3,rabeprazole.manual.diagnosis.auto,Other,FALSE
1PPIrabe,Request_Detail__c,String_Value__c,not equal to,2,stLinePpIs.diagnosis,"Eradication of helicobacter pylori, as part of triple therapy (maximum 14 day approval)",FALSE
1PPIrabe,Request_Detail__c,String_Value__c,not equal to,1,stLinePpIs.diagnosis,other,FALSE
ARBcand,Request_Detail__c,String_Value__c,not equal to,1,candesartan.manual.diagnosis.auto,Other,FALSE
ARBcand,Request_Detail__c,String_Value__c,not equal to,2,arb1stLineReference.criteriaWell.IndicationForRequestedMedicationReferenceAngiotensionReceptorBlockerArbFullCoverage,Other,FALSE
ARBlosa,Request_Detail__c,String_Value__c,not equal to,2,losartan.manual.diagnosis.auto,Other,FALSE
ARBlosa,Request_Detail__c,String_Value__c,not equal to,1,arb1stLineReference.criteriaWell.IndicationForRequestedMedicationReferenceAngiotensionReceptorBlockerArbFullCoverage,Other,FALSE
ARBtelm,Request_Detail__c,String_Value__c,not equal to,2,telmisartan.manual.diagnosis.auto,Other,FALSE
ARBtelm,Request_Detail__c,String_Value__c,not equal to,1,arb1stLineReference.criteriaWell.IndicationForRequestedMedicationReferenceAngiotensionReceptorBlockerArbFullCoverage,Other,FALSE
ARBvals,Request_Detail__c,String_Value__c,not equal to,2,valsartan.manual.diagnosis.auto,Other,FALSE
ARBvals,Request_Detail__c,String_value__c,not equal to,1,arb1stLineReference.criteriaWell.IndicationForRequestedMedicationReferenceAngiotensionReceptorBlockerArbFullCoverage,Other,FALSE
bupropiondepression,Request_Detail__c,String_Value__c,not equal to,2,bupropion.manual.diagnosis.auto,Other,FALSE
bupropiondepression,Request_Detail__c,String_Value__c,not equal to,1,bupropionDepression.diagnosis,Other,FALSE
gliclazide,Request_Detail__c,String_Value__c,not equal to,1,gliclazide.criteriaGliclazide,Other,FALSE
gliclazide,Request_Detail__c,String_Value__c,not equal to,2,gliclazide.manual.diagnosis.auto,Other,FALSE
