External_ID__c,Name,Drug__r.Drug_Code__c,Order__c,Description__c,Criteria_Logic__c,Always_Run__c
100extrabgts_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,100extrabgts,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
1PPIpant_100_Approve_Case,Approve Case,1PPIpant,100,Migrated from Adjudication Criteria records to criteria-based actions.,"OR(AND(1,2), AND(3, 4, 5))",false
1PPIpant_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,1PPIpant,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
1PPIrabe_100_Approve_Case,Approve Case,1PPIrabe,100,Migrated from Adjudication Criteria records to criteria-based actions.,"OR(AND(1,2), AND(3, 4, 5))",false
1PPIrabe_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,1PPIrabe,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
2PPIesom_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,2PPIesom,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
2PPIlans_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,2PPIlans,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
2PPIomep_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,2PPIomep,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
2PPIpant_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,2PPIpant,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
abatacept_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,abatacept,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
abobotulinum_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,abobotulinum,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ACEIcapt_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ACEIcapt,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ACEIcila_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ACEIcila,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ACEIdena_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ACEIdena,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ACEIenap_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ACEIenap,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ACEIfosi_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ACEIfosi,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ACEIliso_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ACEIliso,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ACEIperi_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ACEIperi,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ACEIquin_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ACEIquin,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ACEItran_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ACEItran,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
acetaminophen_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,acetaminophen,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
adalimumab_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,adalimumab,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ADHDamph_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ADHDamph,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ADHDatom_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ADHDatom,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ADHDlisd_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ADHDlisd,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ADHDmeth_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ADHDmeth,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ADTIdone_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ADTIdone,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ADTIgala_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ADTIgala,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
ADTIriva_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,ADTIriva,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
afibdaba_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,afibdaba,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
aggrenox_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,aggrenox,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
alemtuzumab_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,alemtuzumab,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
alenalen_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,alenalen,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
alenrise_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,alenrise,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
alitretinoin_200_Pharmanet_Payload_if_Approved,Pharmanet Payload if Approved,alitretinoin,200,Migrated from Drug Template records to criteria-based actions.,AND(1),false
