HealthcareDiagnosis,Medication
acute hepatic prophyria - AHP,givosiran
atypical hemolytic uremic syndrome - aHUS,eculizumab-aHUS
cryopyrin-associated periodic syndromes - CAPS,canakinumab
cystic fibrosis - CF,ivacaftor
cystic fibrosis - CF,elexacaftor/tezacaftor/ivacaftor
Fabry disease - Fabry,migalastat
Fabry disease - Fabry,agalsidase alfa
Fabry disease - Fabry,agalsidase beta
Gaucher disease type 1 - Gaucher,velaglucerase alfa
Gaucher disease type 1 - Gaucher,miglustat-Gaucher
hereditary angioedema - HAE,lanadelumab
hereditary transthyretin-mediated amyloidosis - hATTR,patisiran
hereditary transthyretin-mediated amyloidosis - hATTR,inotersen
hypophosphatasia - HPP,asfotase alfa
inherited retinal dystrophy (RPE65 mutations) - IRD,voretigene neparvovec
long-chain fatty acid oxidation disorders - LC-FAOD,triheptanoin
lysosomal acid lipase deficiency - LAL-D,sebelipase alfa
mucopolysaccharidosis 4 - MPS4,elosulfase alfa
mucopolysaccharidosis 6 - MPS6,galsulfase
mucopolysaccharidosis I - MPS1,laronidase
mucopolysaccharidosis II - MPS2,idursulfase
nephropathic cystinosis - cystinosis,cysteamine
neuronal ceroid lipofuscinosis type 2 - NCL,cerliponase alfa
Niemann-Pick type C disease - NPC,miglustat-NPC
paroxysmal nocturnal hemoglobinuria - PNH,eculizumab-PNH
Pompe disease - Pompe,alglucosidase alfa
severe primary insulin-like growth factor-1 deficiency - SPIGFD,mecasermin
spinal muscular atrophy - SMA,nusinersen
spinal muscular atrophy - SMA,risdiplam
spinal muscular atrophy - SMA,onasemnogene abeparvovec
transthyretin-mediated amyloidosis - cardiomyopathy - ATTR-CM,tafamidis - Vyndamax
transthyretin-mediated amyloidosis - cardiomyopathy - ATTR-CM,tafamidis - Vyndaqel
x-linked hypophosphataemia - XLH,burosumab
primary hyperoxaluria type 1 - PH1,lumasiran
paroxysmal nocturnal hemoglobinuria - PNH,pegcetacoplan
