"Step__r.External_ID__c","Object_Name__c","Field_Name__c","Operator__c","Order__c","Question_ID__c","String_Value__c","Boolean_Value__c"
"100extrabgts_200_Pharmanet_Payload_if_Approved","Request_Detail__c","boolean_value__c","not equal to","2.0","criteriaWell.patientHasDiabetesIsNotOnInsulinAndIsExperiencingAtLeastOneOfTheFollowing.other","","true"
"100extrabgts_200_Pharmanet_Payload_if_Approved","Request_Detail__c","boolean_value__c","not equal to","1.0","criteriaWell.patientHasDiabetesIsNotOnInsulinAndIsExperiencingAtLeastOneOfTheFollowing.gestational","","true"
"100extrabgts_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","not equal to","5.0","manual.diagnosis","None","false"
"100extrabgts_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","not equal to","4.0","manual.diagnosis","Other","false"
"100extrabgts_200_Pharmanet_Payload_if_Approved","Request_Detail__c","string_value__c","not equal to","3.0","manual.diagnosis","Gestational Diabetes","false"
"100extrabgts_300_6_Month_Approval","Request_Detail__c","string_value__c","equals","2.0","manual.diagnosis","Gestational Diabetes","false"
"100extrabgts_300_6_Month_Approval","Case","Status","equals","1.0","","Approved","false"
"100extrabgts_300_6_Month_Approval","Request_Detail__c","boolean_value__c","equals","3.0","criteriaWell.patientHasDiabetesIsNotOnInsulinAndIsExperiencingAtLeastOneOfTheFollowing.gestational","","true"
"100extrabgts_400_Other_None_Diagnosis","Request_Detail__c","string_value__c","equals","3.0","manual.diagnosis","None","false"
"100extrabgts_400_Other_None_Diagnosis","Request_Detail__c","boolean_value__c","equals","4.0","criteriaWell.patientHasDiabetesIsNotOnInsulinAndIsExperiencingAtLeastOneOfTheFollowing.other","","true"
"100extrabgts_400_Other_None_Diagnosis","Case","Status","equals","1.0","","Approved","false"
"100extrabgts_400_Other_None_Diagnosis","Request_Detail__c","string_value__c","equals","2.0","manual.diagnosis","Other","false"
"100extrabgts_50_Assign_to_Urgent_if_Phone","Case","Origin","equals","1.0","","Phone","false"
"100extrabgts_50_Assign_to_Urgent_if_Phone","Request_Detail__c","boolean_value__c","equals","3.0","criteriaWell.patientHasDiabetesIsNotOnInsulinAndIsExperiencingAtLeastOneOfTheFollowing.gestational","","true"
"100extrabgts_50_Assign_to_Urgent_if_Phone","Request_Detail__c","string_value__c","equals","2.0","manual.diagnosis","Gestational diabetes","false"
