"OwnerId","Step__r.External_ID__c","Order__c","RecordType.Name","Adjudication_Status__c","Days_Supply__c","Duration_Unit__c","Duration__c","Excluded_Plans__c","Justification_Codes__c","Key_Type__c","Pharmanet_Code__c","Price_Percent__c","SA_Type__c"
"0055W000000LTcsQAG","100extrabgts_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","End of year","","D;G;MM;S","4","RDP","9901-0245","100.0","B"
"0055W000000LhdGQAS","100extrabgts_200_Pharmanet_Payload_if_Approved","50.0","Adjudication","Approved","","","","","","","","",""
"0055W000000LhdGQAS","100extrabgts_300_6_Month_Approval","2.0","Pharmanet Payload","","","Months","6.0","D;G;MM;S;GE","4","RDP","9901-0250","100.0","B"
"0055W000000LhdGQAS","100extrabgts_400_Other_None_Diagnosis","1.0","Pharmanet Payload","","","End of year","","D;G;MM;S;GE","4","RDP","9901-0245","100.0","B"
"00G5W000000MXTxUAO","100extrabgts_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"00G5W000000MhTGUA0","100extrabgts_51_Assign_to_eForm_Failure_if_Unknown_DEC","1.0","Owner Assignment","","","","","","","","","",""
"0055W000000LhdGQAS","1PPIpant_100_Approve_Case","200.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S;GE","4","RDP","9901-0054","100.0","B"
"0055W000000LhdGQAS","1PPIpant_100_Approve_Case","3.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S;GE","4","RDP","9901-0078","100.0","B"
"0055W000000LTcsQAG","1PPIpant_100_Approve_Case","100.0","Adjudication","Approved","","","","","","","","",""
"0055W000000LTcsQAG","1PPIpant_100_Approve_Case","300.0","Owner Assignment","","","","","","","","","",""
"0055W000000LhdGQAS","1PPIpant_200_Approve_for_14_Days_H_Pylori_","50.0","Adjudication","Approved","","","","","","","","",""
"0055W000000LhdGQAS","1PPIpant_200_Approve_for_14_Days_H_Pylori_","100.0","Pharmanet Payload","","14.0","Days","5.0","D;G;MM;S;GE","4","RDP","9901-0054","100.0","B"
"0055W000000LhdGQAS","1PPIpant_200_Approve_for_14_Days_H_Pylori_","200.0","Pharmanet Payload","","14.0","Days","5.0","D;G;MM;S;GE","4","RDP","9901-0078","100.0","B"
"0055W000000LhdGQAS","1PPIpant_300_Other_None_Payload","1.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S;GE","4","RDP","9901-0078","100.0","B"
"0055W000000LhdGQAS","1PPIpant_300_Other_None_Payload","2.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S;GE","4","RDP","9901-0054","100.0","B"
"0055W000000LhdGQAS","1PPIpant_400_Approve_Case_for_6_months","2.0","Pharmanet Payload","","","Months","6.0","D;G;MM;S;GE","4","RDP","9901-0078","100.0","B"
"0055W000000LhdGQAS","1PPIpant_400_Approve_Case_for_6_months","1.0","Adjudication","Approved","","","","","","","","",""
"0055W000000LhdGQAS","1PPIpant_400_Approve_Case_for_6_months","3.0","Pharmanet Payload","","","Months","6.0","D;G;MM;S;GE","4","RDP","9901-0054","100.0","B"
"0055W000000LhdGQAS","1PPIpant_400_Approve_Case_for_6_months","4.0","Case Update","","","","","","","","","",""
"00G5W000000MXTxUAO","1PPIpant_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LhdGQAS","1PPIrabe_100_Approve_Case","300.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S;GE","4","RDP","9901-0078","100.0","B"
"0055W000000LTcsQAG","1PPIrabe_100_Approve_Case","100.0","Adjudication","Approved","","","","","","","","",""
"0055W000000LhdGQAS","1PPIrabe_100_Approve_Case","200.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S;GE","4","RDP","9901-0054","100.0","B"
"0055W000000LhdGQAS","1PPIrabe_200_Approve_for_14_Days_H_Pylori_","50.0","Adjudication","Approved","","","","","","","","",""
"0055W000000LTcsQAG","1PPIrabe_200_Approve_for_14_Days_H_Pylori_","100.0","Pharmanet Payload","","14.0","Days","5.0","D;G;MM;S;GE","4","RDP","9901-0054","100.0","B"
"0055W000000LTcsQAG","1PPIrabe_200_Approve_for_14_Days_H_Pylori_","200.0","Pharmanet Payload","","14.0","Days","5.0","D;G;MM;S;GE","4","RDP","9901-0078","100.0","B"
"0055W000000LhdGQAS","1PPIrabe_300_Other_None_Payload","2.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S;GE","4","RDP","9901-0054","100.0","B"
"0055W000000LhdGQAS","1PPIrabe_300_Other_None_Payload","1.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S;GE","4","RDP","9901-0078","100.0","B"
"00G5W000000MXTxUAO","1PPIrabe_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LTcsQAG","2PPIesom_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0054","100.0","R"
"0055W000000LTcsQAG","2PPIesom_200_Pharmanet_Payload_if_Approved","200.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0078","100.0","B"
"00G5W000000MXTxUAO","2PPIesom_300_Approve_for_14_Days_H_Pylori_","1.0","Owner Assignment","","","","","","","","","",""
"0055W000000LhdGQAS","2PPIesom_300_Approve_for_14_Days_H_Pylori_","3.0","Pharmanet Payload","","14.0","Days","5.0","D;G;MM;S;GE","4","RDP","9901-0078","100.0","B"
"0055W000000LhdGQAS","2PPIesom_300_Approve_for_14_Days_H_Pylori_","2.0","Pharmanet Payload","","14.0","Days","5.0","D;G;MM;S;GE","4","RDP","9901-0054","100.0","R"
"00G5W000000MXTjUAO","2PPIesom_400_Assign_Cmpd_to_Compound_Queue","1.0","Owner Assignment","","","","","","","","","",""
"00G5W000000MXTxUAO","2PPIesom_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"00G5W000000MXTxUAO","2PPIesom_52_Esomeprazole_urgent_eForm_Words","1.0","Owner Assignment","","","","","","","","","",""
"0055W000000LTcsQAG","2PPIlans_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0054","100.0","R"
"0055W000000LTcsQAG","2PPIlans_200_Pharmanet_Payload_if_Approved","200.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0078","100.0","B"
"0055W000000LhdGQAS","2PPIlans_300_Approve_for_14_days_H_Pylori_","2.0","Pharmanet Payload","","14.0","Days","5.0","D;G;MM;S;GE","4","RDP","9901-0054","100.0","R"
"0055W000000LhdGQAS","2PPIlans_300_Approve_for_14_days_H_Pylori_","3.0","Pharmanet Payload","","14.0","Days","5.0","D;G;MM;S;GE","4","RDP","9901-0078","100.0","B"
"00G5W000000MXTxUAO","2PPIlans_300_Approve_for_14_days_H_Pylori_","1.0","Owner Assignment","","","","","","","","","",""
"00G5W000000MXTxUAO","2PPIlans_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"00G5W000000MXTjUAO","2PPIlans_55_Assign_cmpd_queue_if_cmpd","1.0","Owner Assignment","","","","","","","","","",""
"0055W000000LTcsQAG","2PPIomep_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0054","100.0","R"
"0055W000000LTcsQAG","2PPIomep_200_Pharmanet_Payload_if_Approved","200.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0078","100.0","B"
"0055W000000LhdGQAS","2PPIomep_300_Approve_for_14_Days_H_Pylori_","3.0","Pharmanet Payload","","14.0","Days","5.0","D;G;MM;S;GE","4","RDP","9901-0078","100.0","B"
"0055W000000LhdGQAS","2PPIomep_300_Approve_for_14_Days_H_Pylori_","2.0","Pharmanet Payload","","14.0","Days","5.0","D;G;MM;S;GE","4","RDP","9901-0054","100.0","R"
"00G5W000000MXTxUAO","2PPIomep_300_Approve_for_14_Days_H_Pylori_","1.0","Owner Assignment","","","","","","","","","",""
"00G5W000000MXTxUAO","2PPIomep_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"00G5W000000MXTjUAO","2PPIomep_55_Assign_to_compound_queue_if_compound","1.0","Owner Assignment","","","","","","","","","",""
"0055W000000LTcsQAG","2PPIpant_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0054","100.0","R"
"0055W000000LTcsQAG","2PPIpant_200_Pharmanet_Payload_if_Approved","200.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0078","100.0","B"
"0055W000000LhdGQAS","2PPIpant_300_Approve_for_14_Days_H_Pylori_","2.0","Pharmanet Payload","","14.0","Days","5.0","D;G;MM;S;GE","4","RDP","9901-0054","100.0","R"
"0055W000000LhdGQAS","2PPIpant_300_Approve_for_14_Days_H_Pylori_","3.0","Pharmanet Payload","","14.0","Days","5.0","D;G;MM;S;GE","4","RDP","9901-0078","100.0","B"
"00G5W000000MXTxUAO","2PPIpant_300_Approve_for_14_Days_H_Pylori_","1.0","Owner Assignment","","","","","","","","","",""
"00G5W000000MXTjUAO","2PPIpant_400_Assign_Cmpd_to_Compound_Queue","1.0","Owner Assignment","","","","","","","","","",""
"00G5W000000MXTxUAO","2PPIpant_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LTcsQAG","abatacept_200_Pharmanet_Payload_if_Approved","1.0","Pharmanet Payload","","28.0","Years","1.0","D;G;S;GE;P","4","RDP","9901-0151","100.0","B"
"0055W000000LhdGQAS","abatacept_30_RA_Renewal_3_years","1.0","Pharmanet Payload","","28.0","Years","3.0","D;G;S;GE;P","4","RDP","9901-0151","100.0","B"
"0055W000000LhdGQAS","abatacept_40_RA_Renewal_Indefinite","1.0","Pharmanet Payload","","28.0","Indefinite","","D;G;S;GE;P","4","RDP","9901-0151","100.0","B"
"00G5W000000MXTsUAO","abatacept_50_Assign_to_Urgent_if_Phone","1.0","Owner Assignment","","","","","","","","","",""
"0055W000000LTcsQAG","abobotulinum_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Years","1.0","D;G;MM;S;GE","4","RDP","9901-0111","100.0","B"
"0055W000000LhdGQAS","abobotulinum_300_Renewal_Payload_if_Approved","1.0","Pharmanet Payload","","","Years","3.0","D;G;MM;S;GE","4","RDP","9901-0111","100.0","B"
"0055W000000LhdGQAS","abobotulinum_400_Other_None_Diagnosis_Initial_1_year_Payload","100.0","Pharmanet Payload","","","Years","1.0","D;G;MM;S;GE","4","RDP","9901-0111","100.0","B"
"00G5W000000MXTxUAO","abobotulinum_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LhdGQAS","abobotulinum_50_Other_None_Diagnosis_Renewal_5_year_Payload","100.0","Pharmanet Payload","","","Years","3.0","D;G;MM;S;GE","4","RDP","9901-0111","100.0","B"
"0055W000000UCp2QAG","abrocitinib_10_Initial_Payload","1.0","Pharmanet Payload","","","Months","6.0","D;G;S;GE;P","4","RDP","9901-0444","100.0","B"
"0055W000000UCp2QAG","abrocitinib_20_Renewal_Payload","1.0","Pharmanet Payload","","","Years","1.0","D;G;S;GE;P","4","RDP","9901-0444","100.0","B"
"0055W000000LhdGQAS","acamprosate_100_PharmaNet_Payload_if_Approved","1.0","Pharmanet Payload","","","Years","1.0","D;S","4","RDP","9901-0143","100.0","R"
"0055W000000LTcsQAG","acarbose_200_Pharmanet Payload if Approved","100.0","Pharmanet Payload","","","Years","1.0","D;G;MM;S","4","RDP","9901-0175","100.0","B"
"0055W000000LTcsQAG","ACEIcapt_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","0024-0100","100.0","R"
"00G5W000000MXTxUAO","ACEIcapt_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LTcsQAG","ACEIcila_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","0024-0100","100.0","R"
"00G5W000000MXTxUAO","ACEIcila_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LTcsQAG","ACEIdena_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","0024-0100","100.0","R"
"00G5W000000MXTxUAO","ACEIdena_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LTcsQAG","ACEIenap_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","0024-0100","100.0","R"
"00G5W000000MXTxUAO","ACEIenap_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LTcsQAG","ACEIfosi_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","0024-0100","100.0","R"
"00G5W000000MXTxUAO","ACEIfosi_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LTcsQAG","ACEIliso_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","0024-0100","100.0","R"
"00G5W000000MXTxUAO","ACEIliso_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LhdGQAS","ACEIperi_100_AA_Adjudication","1.0","Adjudication","Approved","","","","","","","","",""
"0055W000000LTcsQAG","ACEIperi_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","0024-0100","100.0","R"
"00G5W000000MXTxUAO","ACEIperi_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"00G5W000000MXTxUAO","ACEIperi_52_Perindopril_urgent_eForm_Words","1.0","Owner Assignment","","","","","","","","","",""
"0055W000000LTcsQAG","ACEIquin_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","0024-0100","100.0","R"
"00G5W000000MXTxUAO","ACEIquin_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LTcsQAG","ACEItran_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","0024-0100","100.0","R"
"00G5W000000MXTxUAO","ACEItran_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LhdpQAC","acetaminophen_100_Approve_case","1.0","Adjudication","Approved","","","","","","","","",""
"0055W000000LTcsQAG","acetaminophen_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0034","100.0","B"
"00G5W000000MXTxUAO","acetaminophen_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LTcsQAG","acetaminophen325mg_200_Pharmanet Payload if Approved","100.0","Pharmanet Payload","","","Indefinite","","D;G;MM;S","4","RDP","9901-0274","100.0","B"
"00G5W000000MXTiUAO","adalimumab_100_Assign_to_AR","1.0","Owner Assignment","","","","","","","","","",""
"00G5W000000MXTmUAO","adalimumab_200_Assign_to_IBD_if_Crohn_s","1.0","Owner Assignment","","","","","","","","","",""
"00G5W000000MXTuUAO","adalimumab_300_Assign_to_PP","1.0","Owner Assignment","","","","","","","","","",""
"00G5W000000MXTuUAO","adalimumab_35_Assign_to_PP_Eforms","1.0","Owner Assignment","","","","","","","","","",""
"00G5W000000MXTsUAO","adalimumab_400_Assign_to_Off_Label_Queue","1.0","Owner Assignment","","","","","","","","","",""
"0055W000000LhdVQAS","adalimumab_5_Payload_for_PP_Initial_16_Week","2.0","Pharmanet Payload","","","Days","112.0","D;G;S;GE;P","4","RDP","9901-0372","100.0","R"
"0055W000000LhdVQAS","adalimumab_5_Payload_for_PP_Initial_16_Week","1.0","Pharmanet Payload","","","Days","42.0","D;G;S;GE;P","4","RDP","9901-0413","100.0","B"
"0055W000000LhdVQAS","adalimumab_55_Payload_for_HS_initial_6_months_RDP_6_weeks_Simlandi_80mg","2.0","Pharmanet Payload","","","Months","6.0","D;G;S;GE;P","4","RDP","9901-0372","100.0","R"
"0055W000000LhdVQAS","adalimumab_55_Payload_for_HS_initial_6_months_RDP_6_weeks_Simlandi_80mg","1.0","Pharmanet Payload","","","Days","42.0","D;G;S;GE;P","4","RDP","9901-0413","100.0","B"
"0055W000000LhdVQAS","adalimumab_57_Payload_for_HS_renewal_1_year_RDP","1.0","Pharmanet Payload","","","Years","1.0","D;G;S;GE;P","4","RDP","9901-0372","100.0","R"
"0055W000000LhdGQAS","adalimumab_58_Payload_for_NIU_initial_6_months_RDP_6_weeks_Simlandi_80mg","2.0","Pharmanet Payload","","","Years","1.0","D;G;S;GE;P","4","RDP","9901-0372","100.0","R"
"0055W000000LhdGQAS","adalimumab_58_Payload_for_NIU_initial_6_months_RDP_6_weeks_Simlandi_80mg","1.0","Pharmanet Payload","","","Days","42.0","D;G;S;GE;P","4","RDP","9901-0413","100.0","B"
"0055W000000LhdVQAS","adalimumab_60_Payload_for_all_others_1_year","3.0","Pharmanet Payload","","","Years","1.0","D;G;S;GE;P","4","RDP","9901-0372","100.0","B"
"0055W000000LhdVQAS","adalimumab_70_Payload_for_IBD_initial_12_week","2.0","Pharmanet Payload","","","Days","84.0","D;G;S;GE;P","4","RDP","9901-0372","100.0","R"
"0055W000000LhdVQAS","adalimumab_70_Payload_for_IBD_initial_12_week","1.0","Pharmanet Payload","","","Days","42.0","D;G;S;GE;P","4","RDP","9901-0413","100.0","B"
"0055W000000LhdVQAS","adalimumab_80_Simlandi_80mg_payload_trigger","4.0","Pharmanet Payload","","","Years","1.0","D;G;S;GE;P","4","RDP","9901-0413","100.0","B"
"0055W000000LTcsQAG","ADHDamph_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;S","4","RDP","9901-0092","100.0","B"
"00G5W000000MXTxUAO","ADHDamph_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LTcsQAG","ADHDatom_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;S","4","RDP","9901-0091","100.0","B"
"00G5W000000MXTxUAO","ADHDatom_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LTcsQAG","ADHDlisd_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;S","4","RDP","9901-0092","100.0","B"
"00G5W000000MXTxUAO","ADHDlisd_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"00G5W000000MXTxUAO","ADHDlisd_52_Lisdexamfetamine_urgent_eForm_Words","1.0","Owner Assignment","","","","","","","","","",""
"0055W000000LTcsQAG","ADHDmeth_200_Pharmanet_Payload_if_Approved","100.0","Pharmanet Payload","","","Indefinite","","D;S","4","RDP","9901-0092","100.0","B"
"00G5W000000MXTxUAO","ADHDmeth_50_Assign_to_Urgent_if_Phone","100.0","Owner Assignment","","","","","","","","","",""
"0055W000000LhdGQAS","ADTIdone_1_Default_Payload_Initial","1.0","Adjudication","Approved","","","","","","","","",""
"0055W000000LhdVQAS","ADTIdone_1_Default_Payload_Initial","2.0","Pharmanet Payload","","","Months","6.0","D;S","4","RDP","9901-0087","100.0","B"
"0055W000000LhdGQAS","ADTIdone_150_Fax_Default_Payload_Initial_AA_","1.0","Adjudication","Approved","","","","","","","","",""
