"External_ID__c","Name","Drug__r.Drug_Code__c","Order__c","Description__c","Criteria_Logic__c","Always_Run__c"
"100extrabgts_400_Other_None_Diagnosis","Other/None Diagnosis","100extrabgts","400.0","","AND(1,OR(2,3,4))","false"
"100extrabgts_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","100extrabgts","50.0","Assigns the case to the urgent queue if its origin is phone.","OR (1,2,3)","false"
"100extrabgts_200_Pharmanet_Payload_if_Approved","Approval to End of Year","100extrabgts","200.0","Migrated from Drug Template records to criteria-based actions.","OR(AND(1,2),AND(3,4,5))","false"
"100extrabgts_51_Assign_to_eForm_Failure_if_Unknown_DEC","Assign to eForm Failure if Unknown DEC","100extrabgts","51.0","","AND(1)","false"
"100extrabgts_300_6_Month_Approval","6-Month Approval (Gestational Diabetes)","100extrabgts","300.0","","AND(1,OR(2,3))","false"
"1PPIpant_50_Assign_to_Urgent_if_Phone","Assign to Urgent","1PPIpant","50.0","Assigns the case to the urgent queue","OR(1,2,3,4,5,6,7)","false"
"1PPIpant_400_Approve_Case_for_6_months","Approve Case for 6 months","1PPIpant","400.0","","AND(1)","false"
"1PPIpant_100_Approve_Case","Approve Case (Indefinite)","1PPIpant","100.0","Migrated from Adjudication Criteria records to criteria-based actions.","OR(AND(1,2), AND(3, 4, 5, 6))","false"
"1PPIpant_300_Other_None_Payload","Other/None Payload","1PPIpant","300.0","","OR(1,2,3)","false"
"1PPIpant_200_Approve_for_14_Days_H_Pylori_","Approve for 14 Days (H.Pylori)","1PPIpant","200.0","","OR(1,2)","false"
"1PPIrabe_100_Approve_Case","Approve Case (Indefinite)","1PPIrabe","100.0","Migrated from Adjudication Criteria records to criteria-based actions.","OR(AND(1,2), AND(3, 4, 5))","false"
"1PPIrabe_200_Approve_for_14_Days_H_Pylori_","Approve for 14 Days (H.Pylori)","1PPIrabe","200.0","","OR(1,2)","false"
"1PPIrabe_300_Other_None_Payload","Other/None Payload","1PPIrabe","300.0","","OR(1,2,3)","false"
"1PPIrabe_50_Assign_to_Urgent_if_Phone","Assign to Urgent","1PPIrabe","50.0","Assigns the case to the urgent queue","OR(1,2,3,4,5,6,7)","false"
"2PPIesom_50_Assign_to_Urgent_if_Phone","Assign to Urgent","2PPIesom","50.0","Assigns the case to the urgent queue if origin is phone or other keywords are met (e.g., ulcer)","OR(1,2,3,4,5)","false"
"2PPIesom_400_Assign_Cmpd_to_Compound_Queue","Assign Cmpd to Compound Queue","2PPIesom","400.0","","AND(1)","false"
"2PPIesom_52_Esomeprazole_urgent_eForm_Words","Esomeprazole urgent eForm Words","2PPIesom","52.0","routes the case to urgent queue","OR(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24)","false"
"2PPIesom_300_Approve_for_14_Days_H_Pylori_","Approve for 14 Days (H.Pylori)","2PPIesom","300.0","","OR(1,2)","false"
"2PPIesom_200_Pharmanet_Payload_if_Approved","Approve Case (Indefinite)","2PPIesom","200.0","Migrated from Drug Template records to criteria-based actions.","AND(6,OR(2,4))","false"
"2PPIlans_55_Assign_cmpd_queue_if_cmpd","Assign cmpd queue if cmpd","2PPIlans","400.0","assigns compound cases to the compound queue","OR(1,2)","false"
"2PPIlans_200_Pharmanet_Payload_if_Approved","Approve Case (Indefinite)","2PPIlans","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1,OR(2,3))","false"
"2PPIlans_300_Approve_for_14_days_H_Pylori_","Approve for 14 days (H.Pylori)","2PPIlans","300.0","","OR(1,2)","false"
"2PPIlans_50_Assign_to_Urgent_if_Phone","Assign to Urgent","2PPIlans","50.0","Assigns the case to the urgent queue if key indications or words are met (e.g., phone, bleed, ulcer, etc.)","OR(1,2,3,4,5,6)","false"
"2PPIomep_200_Pharmanet_Payload_if_Approved","Approve Case (Indefinite)","2PPIomep","200.0","Migrated from Drug Template records to criteria-based actions.","AND(6,OR(2,4))","false"
"2PPIomep_300_Approve_for_14_Days_H_Pylori_","Approve for 14 Days (H.Pylori)","2PPIomep","300.0","","OR(1,2)","false"
"2PPIomep_50_Assign_to_Urgent_if_Phone","Assign to Urgent","2PPIomep","50.0","Assigns the case to the urgent queue if its origin is phone or indications = ulcer, H. Pylori, bleed","OR(1,2,3,4,5,6)","false"
"2PPIomep_55_Assign_to_compound_queue_if_compound","Assign to compound queue if compound","2PPIomep","400.0","assigns compounds to compound queue","OR(1,2)","false"
"2PPIpant_400_Assign_Cmpd_to_Compound_Queue","Assign Cmpd to Compound Queue","2PPIpant","400.0","","AND(1)","false"
"2PPIpant_300_Approve_for_14_Days_H_Pylori_","Approve for 14 Days (H.Pylori)","2PPIpant","300.0","","OR(1,2)","false"
"2PPIpant_200_Pharmanet_Payload_if_Approved","Approve Case (Indefinite)","2PPIpant","200.0","Migrated from Drug Template records to criteria-based actions.","AND(6,OR(AND(1,2), AND(3, 4, 5)))","false"
"2PPIpant_50_Assign_to_Urgent_if_Phone","Assign to Urgent","2PPIpant","50.0","Assigns the case to the urgent queue if its origin is phone or indication is urgent","OR(1,2,3,4,5,6)","false"
"abatacept_30_RA_Renewal_3_years","RA Renewal 3 years","abatacept","30.0","","AND(1,OR(2,3))","false"
"abatacept_200_Pharmanet_Payload_if_Approved","Pharmanet Payload 1 Year","abatacept","20.0","Migrated from Drug Template records to criteria-based actions.","AND(1,OR(2,3,4,5,6,7,8,9))","false"
"abatacept_50_Assign_to_Urgent_if_Phone","Off label queue assignment","abatacept","10.0","assigns to off label queue if dx is other","OR(1,2)","false"
"abatacept_40_RA_Renewal_Indefinite","RA Renewal Indefinite","abatacept","40.0","","AND(1,OR(2,3))","false"
"abobotulinum_200_Pharmanet_Payload_if_Approved","Initial Payload if Approved","abobotulinum","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1,OR(AND(2,3,4,5),6))","false"
"abobotulinum_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","abobotulinum","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"abobotulinum_400_Other_None_Diagnosis_Initial_1_year_Payload","Other/None Diagnosis - Initial (1 year) Payload","abobotulinum","400.0","","AND(1,2,OR(3,4))","false"
"abobotulinum_300_Renewal_Payload_if_Approved","Renewal Payload if Approved","abobotulinum","300.0","","AND(1,OR(AND(2,3,4,5),6))","false"
"abobotulinum_50_Other_None_Diagnosis_Renewal_5_year_Payload","Other/None Diagnosis - Renewal (5 year) Payload","abobotulinum","500.0","","AND(1,2,OR(3,4))","false"
"abrocitinib_10_Initial_Payload","Initial Payload if Approved - 6 Months","abrocitinib","10.0","Initial Payload (6 Months)","AND(1,OR(2,3,4))","false"
"abrocitinib_20_Renewal_Payload","Renewal Payload if Approved - 1 Year","abrocitinib","20.0","Renewal Payload (1 Year)","AND(1,OR(2,3))","false"
"acamprosate_100_PharmaNet_Payload_if_Approved","PharmaNet Payload if Approved","acamprosate","100.0","","AND(1)","false"
"acarbose_200_Pharmanet Payload if Approved","Pharmanet Payload if Approved","acarbose","200.0","Pharmanet Payload if Approved","AND(1)","false"
"ACEIcapt_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ACEIcapt","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ACEIcapt_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ACEIcapt","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"ACEIcila_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ACEIcila","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ACEIcila_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ACEIcila","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"ACEIdena_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ACEIdena","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ACEIdena_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ACEIdena","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"ACEIenap_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ACEIenap","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"ACEIenap_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ACEIenap","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ACEIfosi_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ACEIfosi","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ACEIfosi_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ACEIfosi","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"ACEIliso_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ACEIliso","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ACEIliso_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ACEIliso","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"ACEIperi_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ACEIperi","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ACEIperi_100_AA_Adjudication","AA Adjudication","ACEIperi","100.0","","OR(1,AND(2,3))","false"
"ACEIperi_52_Perindopril_urgent_eForm_Words","Perindopril urgent eForm Words","ACEIperi","52.0","routes the case to urgent queue","OR(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24)","false"
"ACEIperi_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ACEIperi","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"ACEIquin_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ACEIquin","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ACEIquin_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ACEIquin","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"ACEItran_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","ACEItran","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"ACEItran_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","ACEItran","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
"acetaminophen_50_Assign_to_Urgent_if_Phone","Assign to Urgent if Phone","acetaminophen","50.0","Assigns the case to the urgent queue if its origin is phone.","AND(1)","false"
"acetaminophen_200_Pharmanet_Payload_if_Approved","Pharmanet Payload if Approved","acetaminophen","200.0","Migrated from Drug Template records to criteria-based actions.","AND(1)","false"
