"OwnerId","Approval_Details__c","Auto_Adjudication_Requirements__c","Auto_Push_to_Pharmanet__c","Auto_Validate_Patient__c","Auto_Validate_Provider__c","Brand_Drug_Name__c","CDEC_Recommendation__c","Criteria_Website__c","DBC_R_R__c","Drug_Code__c","Drug_Review_Results__c","Form__c","Health_Canada_monograph__c","PharmaNet_RDP_code__c","Pharmacist_Notes__c","Practitioner_Exemptions__c","Special_Notes__c","Strength__c","Tech_Sheet__c","Name"
"00G5W000000MXTvUAO","","","true","true","true","","","","","100extrabgts","","test strips","","9901-0245","","","Stamp for MIR:<br><br><strong>Please clarify below how the patient satisfies PharmaCare criteria below:</strong><br>┬á
<p>Patient has diabetes, is not on insulin OR patient has diabetes, is on insulin and is using a Glucose Monitoring System, and is experiencing at least one of the following:<br>┬á</p>

<p>Γûí┬á┬áNot meeting glycemic targets, as determined by physician, for 3 months or more.</p>

<p>Γûí┬á┬áAcute illness or co-morbidities that may impact blood glucose control.</p>

<p>Γûí┬á┬áChanges in drug therapy that may impact blood glucose control (e.g. starting or stopping hypo or hyperglycemic inducing medications,┬ádrug-to-drug or drug-to-disease interactions).</p>

<p>Γûí┬á┬áOccupations where hypoglycemia presents a significant safety risk (e.g., pilots, air traffic controllers, commercial drivers, etc.).</p>

<p>Γûí┬á┬áGestational diabetes.</p>","","","100 extra blood glucose test strips"
"00G5W000000MXTvUAO","Approved for fully covered, reference PPls: pantoprazole magnesium and rabeprazole. This also includes partial coverage of non-reference PPls: esomeprazole, lansoprazole, omeprazole, pantoprazole sodium.","Patient validated with EMPI Prescriber validated with PNET Diagnosis not equal to &quot;Other&quot; OR &quot;H. Pylori&quot;","true","true","true","Tecta and generics; fully covered reference PPI","","https://www2.gov.bc.ca/gov/content/health/practitioner-professional-resources/pharmacare/prescribers/limited-coverage-drug-program/proton-pump-inhibitors-pantoprazole-magnesium","","1PPIpant","","tablet","","9901-0078","Important info here","Gastroenterologists","<p>Forward to pharmacist:</p>

<p>-patients on transplant or antiretroviral medications</p>

<p>-requests specifically indicating brand name<br><br><strong>2nd Tier PPI. If Golden contradicts 1st tier PPI trials stated by a prescriber (++remove the drug confirmed on golden++), MIR:</strong><br><br>┬á</p>

<p><strong>xxxxx</strong> (non reference PPIs) <strong>-</strong><strong> </strong><strong>More Information Required</strong></p>

<p>Not approved based upon available information. Available PharmaCare records were unable to verify previous fills of pantoprazole magnesium/rabeprazole. For further consideration, please specify dates, dosages, and source(s) of medication. Please note: samples will not be accepted as a trial. Thank you</p>

<p>┬á</p>

<p><strong>Pantoprazole Magnesium/Rabeprazole </strong>(reference PPIs)<strong>- Approved </strong></p>

<p>Approved for fully covered, reference PPIs: pantoprazole magnesium and rabeprazole. This also includes partial coverage of non-reference PPIs: esomeprazole, lansoprazole, omeprazole, pantoprazole sodium.</p>

<p><br>┬á</p>","40mg","https://hlth.sp.gov.bc.ca/sites/HLTHSP/HSIMT/SP/SAT/Shared%20Documents/PDF%20Tech%20Sheets/PPIUpdatedTechSheet.pdf","pantoprazole magnesium"
"00G5W000000MXTvUAO","Approved for fully covered, reference PPls: pantoprazole magnesium and rabeprazole. This also includes partial coverage of non-reference PPls: esomeprazole, lansoprazole, omeprazole, pantoprazole sodium.","Patient validated with EMPI
Prescriber validated with PNET
Diagnosis not equal to &quot;Other&quot; OR &quot;H. Pylori&quot;","true","true","true","Pariet and generics; non-reference PPI","","https://www2.gov.bc.ca/gov/content/health/practitioner-professional-resources/pharmacare/prescribers/limited-coverage-drug-program/proton-pump-inhibitor-rabeprazole","","1PPIrabe","","tablet","","9901-0078","Important details here","Gastroenterologists","<p>Forward to pharmacist:</p>

<p>-patients on transplant or antiretroviral medications</p>

<p>-requests specifically indicating brand name</p>","10mg and 20mg","https://hlth.sp.gov.bc.ca/sites/HLTHSP/HSIMT/SP/SAT/Shared%20Documents/PDF%20Tech%20Sheets/PPIUpdatedTechSheet.pdf","rabeprazole"
"00G5W000000MXTvUAO","Approved for full coverage of PharmaCare eligible formulations of pantoprazole Mg, rabeprazole, esomeprazole, lansoprazole, omeprazole and pantoprazole sodium.","","false","false","false","Nexium; non-reference PPI","","","","2PPIesom","","tablet","","9901-0054","","","<p>Approved for full coverage of PharmaCare eligible formulations of pantoprazole Mg, rabeprazole, esomeprazole, lansoprazole, omeprazole and pantoprazole sodium.</p>","20mg and 40mg","https://hlth.sp.gov.bc.ca/sites/HLTHSP/HSIMT/SP/SAT/Shared%20Documents/PDF%20Tech%20Sheets/PPIUpdatedTechSheet.pdf","esomeprazole"
"00G5W000000MXTvUAO","Approved for full coverage of PharmaCare eligible formulations of pantoprazole Mg, rabeprazole, esomeprazole, lansoprazole, omeprazole and pantoprazole sodium.","","false","true","true","Prevacid and generics; non-reference PPI","","","","2PPIlans","","tablet","","9901-0054","","Gastroenterologists","<p>Approved for full coverage of PharmaCare eligible formulations of pantoprazole Mg, rabeprazole, esomeprazole, lansoprazole, omeprazole and pantoprazole sodium.</p>","15mg and 30mg","https://hlth.sp.gov.bc.ca/sites/HLTHSP/HSIMT/SP/SAT/Shared%20Documents/PDF%20Tech%20Sheets/PPIUpdatedTechSheet.pdf","lansoprazole"
"00G5W000000MXTvUAO","Approved for full coverage of PharmaCare eligible formulations of pantoprazole Mg, rabeprazole, esomeprazole, lansoprazole, omeprazole and pantoprazole sodium.","","false","false","false","Losec and generics; non-reference PPI","","https://www2.gov.bc.ca/gov/content/health/practitioner-professional-resources/pharmacare/prescribers/limited-coverage-drug-program/proton-pump-inhibitors-omeprazole","","2PPIomep","","tablet","","9901-0054","","Gastroenterologists","<p>Approved for full coverage of PharmaCare eligible formulations of pantoprazole Mg, rabeprazole, esomeprazole, lansoprazole, omeprazole and pantoprazole sodium.</p>","20mg","https://hlth.sp.gov.bc.ca/sites/HLTHSP/HSIMT/SP/SAT/Shared%20Documents/PDF%20Tech%20Sheets/PPIUpdatedTechSheet.pdf","omeprazole"
"00G5W000000MXTvUAO","Approved for full coverage of PharmaCare eligible formulations of pantoprazole Mg, rabeprazole, esomeprazole, lansoprazole, omeprazole and pantoprazole sodium.","","false","false","false","Pantoloc and generics; non-reference PPI","","","","2PPIpant","","tablet","","9901-0054","","Gastroenterologists","","40mg","https://hlth.sp.gov.bc.ca/sites/HLTHSP/HSIMT/SP/SAT/Shared%20Documents/PDF%20Tech%20Sheets/PPIUpdatedTechSheet.pdf","pantoprazole sodium"
"00G5W000000MXTiUAO","Approved abatacept _","","false","true","true","Orencia","","","","abatacept","","Injectable","","9901-0151","","","<p><span style=""font-family: Calibri, sans-serif; font-size: 11pt;"">Approved for the following weight based doses: 500 mg dose for patients weighing less than 60 kg, 750 mg dose for patients weighing 60 to 100 kg, and a 1000 mg dose for patients weighing more than 100 kg.</span></p><p><span style=""font-family: Calibri, sans-serif; font-size: 11pt;"">Approved for these IV doses at 0, 2 and 4 weeks for new treatment starts, and then every 4 weeks thereafter.┬á</span></p><p><span style=""font-family: Calibri, sans-serif; font-size: 11pt;"">┬á</span></p><p><span style=""font-family: Calibri, sans-serif; font-size: 11pt;"">Please note that claims will be monitored and subject to review.┬áFor changes in dosage regimens, please submit renewal application for review by Committee.┬áThank you.</span></p>","250mg/15mL, 125mg/mL","","abatacept"
"00G5W000000MXTvUAO","","","false","false","false","Dysport","","","","abobotulinum","","Injectable","","9901-0111","","","<p>For consideration of coverage for abobotulinum toxin, please specify if patientΓÇÖs diagnosis requiring use is cervical dystonia OR focal spasticity, as per attached criteria. Thank you.</p>","300 units/vial, 500 units/vial","https://hlth.sp.gov.bc.ca/sites/HLTHSP/HSIMT/SP/SAT/Shared%20Documents/PDF%20Tech%20Sheets/abobotulinum%20toxin.pdf","abobotulinum"
"00G5W000000MXTuUAO","","","false","false","false","Cibinqo","https://www.cadth.ca/sites/default/files/DRR/2022/SR0686REC-Cibinqo_Final.pdf","","","abrocitinib","https://www.cadth.ca/sites/default/files/DRR/2022/SR0686REC-Cibinqo_Final.pdf","","https://pdf.hres.ca/dpd_pm/00071453.PDF","9901-0444","","","","50mg, 100mg, 200mg","","abrocitinib"
